title,genres,popularity,vote_average
The Inheritance,"Drama, Horror, Thriller, Foreign",0.74,3.8
The Trap,"Crime, Mystery, Thriller",0.6,6.9
Voodoo Moon,"Drama, Fantasy, Horror",0.53,4.3
Today We Live,"Romance, Drama, Action, War",0.51,2.0
Restitution,"Action, Thriller, Crime, Mystery, Romance",0.7,3.8
The Tunnel of Love,"Comedy, Romance",0.47,7.0
Razortooth,"Action, Horror, Science Fiction, Thriller",3.4,4.0
The Legend of Bloody Mary,"Horror, Mystery, Thriller",1.08,3.8
Middle of the Night,Drama,4.74,5.4
The D.I.,Drama,0.77,6.7
Who Was That Lady?,Comedy,0.86,6.5
Walking Tall Part II,"Action, Adventure, Drama, Crime",1.02,5.1
Time Limit,"Drama, Mystery, War",0.09,5.5
Lost Signal,"Horror, Thriller",0.62,3.7
Slap Shot 3: The Junior League,"Action, Adventure, Comedy",1.16,4.2
Laughter in Paradise,Comedy,1.75,6.9
Fun on a Weekend,,0.36,7.0
Almost 18,"Foreign, Drama, Comedy",0.85,7.2
Fist of Jesus,"Action, Comedy, Horror",0.87,7.6
Print the Legend,Documentary,1.47,7.1
He Who Dares,Action,1.43,3.3
Anina,"Animation, Comedy, Family",1.63,7.1
Against the Sun,"War, Adventure",7.94,6.5
The Divine Move,"Action, Crime, Drama",1.71,6.9
"A Reason to Live, a Reason to Die",Western,2.42,5.9
Bowery at Midnight,"Comedy, Crime, Horror, Action",1.2,5.5
Carnival of Sinners,"Fantasy, Horror",0.4,7.3
Lucky Country,"History, Drama, Thriller, Western",0.34,3.3
Duffy,"Crime, Comedy",0.29,8.0
Tasting Menu,Comedy,0.93,4.0
Night Will Fall,Documentary,1.74,7.8
Pony Soldier,Western,0.82,4.9
The Amazing Catfish,"Comedy, Drama",1.57,5.7
The Court-Martial of Jackie Robinson,Drama,0.08,10.0
The Perils of Pauline,,0.46,0.0
Black Magic,"Drama, Mystery, Romance",0.47,6.1
Three Cases of Murder,Mystery,0.83,5.6
The Fountain of Youth,,0.05,5.0
Parade,"Family, Comedy",0.08,5.8
Always for Pleasure,,0.1,7.0
Port of Flowers,"War, Comedy",0.12,8.7
The Living Magoroku,,0.64,8.0
Jubilation Street,"War, Drama",0.34,6.7
Army,Drama,0.43,7.5
Morning for the Osone Family,Drama,0.21,8.0
She Was Like a Wild Chrysanthemum,"Romance, Drama",0.37,6.5
The River Fuefuki,"War, Drama, History",0.06,5.0
Immortal Love,"Romance, Drama",0.22,8.0
Legend of a Duel to the Death,"Drama, Action",0.01,0.0
That Night's Wife,Drama,0.18,5.2
Citizen Koch,Documentary,0.33,6.3
We Still Kill the Old Way,Crime,3.14,5.3
In Our Garden,,0.0,0.0
Giuseppe Makes a Movie,Documentary,0.23,6.4
Youth of the Son,"Comedy, Drama",0.08,5.0
The Arrival of Wang,"Science Fiction, Mystery, Thriller",0.41,6.6
Walker,,0.52,6.4
One Step Ahead of My Shadow,"Comedy, Animation",0.0,0.0
Amuck!,"Drama, Mystery, Horror",1.16,6.3
Lad: A Dog,Drama,0.89,8.0
Horror of the Blood Monsters,"Action, Horror, Science Fiction",0.7,2.2
Smiling Maniacs,,0.0,0.0
Season For Assassins,"Drama, Action",0.03,0.0
Low Down,"Drama, Music",3.16,5.0
"Another Day, Another Time: Celebrating the Music of ""Inside Llewyn Davis""",Documentary,0.4,9.3
Margaret,"TV Movie, Comedy, Drama, Romance",0.52,0.0
Paper Planes,"Comedy, Family",7.79,6.0
DRIVE,"Comedy, Drama",0.34,7.0
Hard Luck Hero,,0.49,7.5
Bunny Drop,"Drama, Comedy",0.98,6.7
I Know You Know,"Thriller, Drama, Comedy",2.13,6.8
Awaydays,"Drama, Foreign",1.17,5.4
Double Game,"Action, Thriller, Foreign",0.0,0.0
A Long Ride from Hell,"Action, Western",0.12,4.0
Body Fat Index of Love,Comedy,0.47,5.3
Burning Blue,"Drama, Romance, War",4.63,5.5
Björk: Biophilia Live,"Documentary, Music",0.66,8.1
The Missouri Traveler,"Drama, Family, Western",0.46,6.0
Those Calloways,"Drama, Family",0.28,7.3
The Deserter,"Action, Western",0.63,7.0
Torch Singer,"Romance, Drama, Music",0.07,4.0
The Diary of Anne Frank,Drama,0.04,0.0
El compadre Mendoza,"War, Drama",0.43,5.8
Le Grand Jeu,Drama,0.43,8.0
Bad Seed,Comedy,0.25,3.0
Red Ensign,Drama,0.02,0.0
Love and Distrust,"Romance, Drama",1.21,4.8
"Aquí llega Condemor, el pecador de la pradera","Western, Comedy",0.37,4.7
El asombroso mundo de Borjamari y Pocholo,Comedy,0.79,5.4
2012: Ice Age,"Action, Adventure, Science Fiction",7.5,3.8
FBI: Frikis buscan incordiar,Comedy,0.04,2.0
Isi/Disi - Amor a lo bestia,"Comedy, Music, Adventure",1.44,5.5
Red Salute,"Drama, Comedy, Romance",0.99,6.0
The Case of the Curious Bride,"Comedy, Crime, Drama, Mystery",0.26,5.6
The Case of the Lucky Legs,"Mystery, Comedy, Crime",0.1,0.0
La Bandera,,0.18,5.3
The Beast in Heat,"Horror, Thriller, War",2.32,4.1
Doubting Thomas,Comedy,0.05,0.0
A Blade in the Dark,"Thriller, Horror",4.05,6.0
The Phantom Light,"Thriller, Mystery",0.11,5.8
Seven Alone,"Drama, Family",0.2,6.0
Pretty Cool,"Fantasy, Comedy",0.25,4.9
Ned Rifle,Drama,4.24,5.6
Time in the Minors,Documentary,0.01,0.0
Stars Above,,0.85,7.3
Not Another Happy Ending,"Romance, Comedy, Drama",2.92,6.1
Mortdecai,"Comedy, Adventure",10.24,5.4
Fifty Shades of Grey,"Drama, Romance, Thriller",33.07,5.2
Expelled,Comedy,9.32,6.2
Buffalo Girls,"Documentary, Action",0.12,8.0
Gregory Go Boom,Comedy,1.0,6.3
The Periwig-Maker,Animation,0.62,8.1
Kiwi!,"Animation, Action",1.99,6.5
Santa's Pocket Watch,,0.0,0.0
Björk at the Royal Opera House,Music,0.42,6.8
The Fox and the Hare,"Animation, Family",1.35,5.3
Christmas Comes but Once a Year,,0.11,7.0
Crac,Animation,0.15,7.5
Reggie Watts: Why Shit So Crazy?,"Comedy, Music",0.24,6.0
Syrinx,Animation,0.29,6.0
Curb Dance,,0.27,5.0
Desire: The Vampire,"TV Movie, Crime, Horror, Thriller",0.25,4.0
Manson,Documentary,0.15,5.9
Fright to the Finish,"Comedy, Animation",0.27,7.0
Guyana Tragedy: The Story of Jim Jones,"Drama, TV Movie",0.21,4.5
"I Want a Dog for Christmas, Charlie Brown","Animation, Comedy, Family",1.13,6.9
Impure Thoughts,Comedy,0.25,0.0
It's a Bird,,0.11,8.0
The Trip to Squash Land,"Fantasy, Adventure, Animation",0.25,4.6
Charlie Brown's Christmas Tales,"Comedy, Family, Animation",0.72,5.8
Eat,Drama,0.6,8.0
Garfield's Halloween Adventure,"Animation, Family",1.64,7.1
"It's Christmastime Again, Charlie Brown",Animation,1.43,5.9
Halloweentown,"Adventure, Comedy, Family, Fantasy, Horror, TV Movie",5.32,6.3
Halloweentown II: Kalabar's Revenge,"Adventure, Family, Fantasy, TV Movie",7.77,6.3
Halloweentown High,"Adventure, Comedy, Family, Fantasy, TV Movie",4.02,5.9
Nocturna Artificialia,Animation,0.21,4.6
Santa Claus,"Family, Fantasy",0.88,6.0
Surprise,,0.0,0.0
Trick or Treat,Animation,0.77,6.4
Vengeance: The Story of Tony Cimo,,0.04,4.8
Within the Woods,Horror,1.66,6.3
100 Years at the Movies,Documentary,0.38,8.0
Apple Jack,"Comedy, Drama",0.02,0.0
The Butter Battle Book,"Animation, Family",0.04,4.8
Corn on the Cop,Animation,0.33,5.3
The Black Imp,"Fantasy, Comedy",0.47,7.0
Halloween is Grinch Night,"Family, Animation",0.69,6.6
Marilyn in Manhattan,,0.38,6.5
Rage of Angels,"Action, Drama, Adventure, Romance",0.98,4.5
Rage of Angels: The Story Continues,"TV Movie, Drama",0.57,0.0
Rudolph the Red-Nosed Reindeer,"Animation, Family, Fantasy, Music",0.32,6.8
Signs,Romance,1.12,7.4
The Fat Albert Halloween Special,Animation,0.05,6.0
Season's Greetings,"Comedy, Foreign",0.82,6.1
The Dot and the Line: A Romance in Lower Mathematics,"Romance, Animation, Comedy",0.92,7.4
Nantucket Film Festival's Comedy Roundtable,"Comedy, Documentary, TV Movie",0.78,7.3
Rubber Johnny,"Animation, Horror",1.71,7.7
Act da Fool,,0.31,6.3
En rachâchant,,0.0,6.0
A Flower,Drama,0.48,4.8
Boo to You Too! Winnie the Pooh,,0.12,6.8
Sleeping Betty,"Animation, Comedy",0.22,7.0
Betty Boop's Hallowe'en Party,"Horror, Animation, Comedy",0.15,6.7
Halloween,"Horror, Comedy, Animation",0.15,6.0
Barbie: A Fashion Fairytale,"Family, Animation",4.29,6.4
The Halloween That Almost Wasn't,"Horror, Comedy, Family",0.9,6.0
The Mystery of the Leaping Fish,"Mystery, Comedy, Crime",0.44,6.5
The 3 Rs,,1.56,5.8
Brutal Relax,"Action, Comedy",0.94,6.6
Franz Kafka's a Country Doctor,"Animation, Drama",1.71,7.6
Pluto's Christmas Tree,"Animation, Comedy",1.16,7.0
Stille Nacht I,"Mystery, Animation",0.0,5.4
Holiday for Drumsticks,,0.0,0.0
The Horseplayer,Drama,0.0,0.0
Coven,"Drama, Horror",0.44,6.3
Rehearsals for Extinct Anatomies,Animation,0.95,6.3
Suur Tõll,,0.08,9.0
We Can Be Heroes,,0.14,7.8
Bob's Birthday,"Comedy, Animation",0.18,6.6
Broom-Stick Bunny,"Animation, Family, Comedy",0.42,7.4
Chainsaw Maid,Animation,0.36,5.6
The Little Matchgirl,"Drama, Animation",3.53,7.3
The Haunted House,Animation,0.61,6.6
How They Get There,"Romance, Comedy",0.73,7.0
Istanbul,,0.01,0.0
"Hen, His Wife",Animation,0.0,7.5
Inside The X-Files,Documentary,0.6,6.0
The Horribly Slow Murderer with the Extremely Inefficient Weapon,"Comedy, Horror",1.86,6.6
Norm MacDonald: Me Doing Standup,Comedy,0.3,7.2
A Flintstones Christmas Carol,"Animation, Comedy, Family",0.87,5.3
Hedgehog in the Fog,"Adventure, Animation, Family, Fantasy",2.64,7.4
The Cat's Out,Animation,0.09,7.0
Claymation Comedy of Horrors,Animation,0.01,10.0
The Last Farm,Drama,0.39,7.6
Snowballs,,0.5,6.0
"Danger! 50,000 Zombies","Horror, Comedy",0.2,8.0
Bouncing Babies,"Family, Comedy",0.01,0.0
Stella: Live in Boston,Comedy,0.05,5.0
Diario de un skin,Documentary,0.37,6.7
The Black Cat,"Comedy, Horror, Mystery",0.94,6.4
All About Anna,"Comedy, Drama, Romance",6.61,2.5
Let's Get Those English Girls,Comedy,0.26,5.8
Archie To Riverdale and Back Again,"TV Movie, Comedy",0.05,5.5
Babette Goes to War,"Comedy, War",0.34,6.0
Darling Trap,Comedy,1.99,4.8
Special Delivery,Comedy,0.01,0.0
Mr. Average,"Comedy, Romance, Foreign",0.42,7.5
Cutie Honey,"Action, Foreign",1.13,5.8
"Delphine 1, Yvan 0",Comedy,0.35,6.0
Doomsday Prophecy,"Action, Thriller, Science Fiction",2.44,4.0
Love Can Seriously Damage Your Health,"Romance, Comedy",0.35,5.8
The Cave of the Golden Rose,"Adventure, Family, Fantasy, Romance",1.93,6.0
Human Touch,Drama,0.0,0.0
King Kelly,Drama,1.63,4.3
La Bande du drugstore,"Drama, Romance",0.54,6.3
The Slap,"Foreign, Comedy, Drama, Romance",1.11,5.2
Lahore,"Action, Foreign",0.02,0.0
The King's Whore,"Romance, History, Drama",0.55,4.6
Latitudes,"Drama, Romance",0.99,5.4
Frenchmen 2,"Comedy, Romance",1.44,6.1
The Last Diamond,Drama,1.73,6.3
"Le printemps, l'automne et l'amour","Comedy, Drama",0.0,0.0
1001 Nights,"Fantasy, Comedy, Adventure",1.22,4.9
Lightspeed,"Fantasy, Action, Science Fiction",1.03,1.4
Meilleur espoir féminin,Comedy,0.65,6.7
"Mercredi, folle journée !","Drama, Comedy",0.11,6.5
Mr Reliable,,0.39,6.5
Ninette,Comedy,0.47,8.0
Nom de code : Rose,,0.52,4.9
Opposite Day,"Family, Comedy",1.39,3.2
Powder Room,Comedy,3.06,5.3
Shirin in Love,"Comedy, Romance",0.48,4.0
The Christmas Wish,"Family, Drama, Romance",0.23,3.1
The Sex and Violence Family Hour,,1.44,0.0
All That... for This?!,Comedy,0.59,6.3
Who Do I Gotta Kill?,Comedy,0.44,3.7
Marihuana,"Documentary, Drama, History",0.7,2.5
"So Sweet, So Dead","Crime, Drama, Horror, Mystery, Romance, Thriller",0.8,7.0
Chronicle of a Homicide,Drama,1.15,0.0
The Shadow Men,"Horror, Science Fiction, Thriller",0.48,3.6
Seventh Heaven,"Comedy, Romance",0.07,2.0
They Were Five,Drama,0.35,7.1
Stop Train 349,Drama,0.02,0.0
Ferryman Maria,,0.04,7.0
"Thank You, Jeeves!",Comedy,0.01,0.0
Homework,,0.05,5.0
Internes Can't Take Money,"Crime, Drama, Romance",0.12,7.0
Green Light,"Drama, Romance",0.43,6.0
Black Belly of the Tarantula,"Horror, Mystery, Thriller",4.73,6.1
Maid of Salem,Drama,0.29,3.3
Double Or Nothing,,0.07,8.0
Second Honeymoon,"Comedy, Romance",0.46,6.7
I Met Him in Paris,"Comedy, Romance",0.73,5.5
Dance Program,Drama,0.16,7.3
Boys' School,"Adventure, Drama, Mystery",0.84,7.4
Vessel of Wrath,"Comedy, Drama, Romance",0.66,10.0
Idiot's Delight,"Comedy, Drama",0.16,4.0
Invitation to Happiness,"Drama, Romance",0.01,0.0
Subliminal Seduction,"Drama, Science Fiction",1.01,4.0
Virtual Combat,"Science Fiction, Action",0.33,7.3
The Skateboard Kid II,"Family, Fantasy",1.2,4.0
The Terror Within II,"Horror, Science Fiction",0.75,2.5
Beyond the Fear,Documentary,0.05,0.0
Modris,Drama,0.06,5.0
Deliverance Creek,Drama,1.08,6.3
Wolves,"Horror, Action",11.48,5.7
The Woodcarver,Drama,0.01,0.0
The Encounter,"Drama, Family",0.81,4.7
Big Sur,Drama,2.76,4.8
The Unexpected Love,"Comedy, Drama",2.27,6.3
Apostle Peter and the Last Supper,"History, Drama",0.84,6.2
The Adventures of André and Wally B.,Animation,3.47,5.4
Face of Terror,"Action, Drama, Thriller",0.37,4.0
The Harmony Game,"Music, Documentary",0.1,8.0
Kamikaze,Drama,1.22,6.5
Planet Ocean,Documentary,2.37,7.1
Stalag Luft,"Drama, Comedy, War, Foreign",0.18,7.0
We'll Never Have Paris,"Comedy, Romance",3.85,4.8
American Heist,Action,6.28,4.3
The Good Son,Thriller,0.22,3.5
Miraculum,Drama,0.82,5.3
Solyaris,"TV Movie, Drama, Science Fiction",0.25,8.0
Mother Earth,Documentary,0.0,0.0
The Pacific,"Action, Adventure, Drama, History, War",6.09,7.9
A Visitor to a Museum,Drama,0.66,7.6
The Hyperboloid of Engineer Garin,"Drama, Science Fiction, Adventure",1.54,4.0
Cosmic Journey,Science Fiction,0.2,5.8
Two: The Story of Roman & Nyro,"Documentary, Drama",0.03,0.0
Strange Magic,"Music, Animation, Family, Fantasy",10.19,6.2
Paris-Manhattan,"Comedy, Romance",4.2,5.3
The Flying Machine,"Animation, Adventure, Family",0.53,5.4
7 Days in Havana,Drama,5.37,5.4
The DUFF,"Romance, Comedy",8.59,6.8
Tower Block,Thriller,3.61,5.7
Fort McCoy,"War, Drama, History",0.71,6.3
Age of Ice,"Science Fiction, Adventure",1.73,2.8
The Girl with a Pistol,"Romance, Comedy, Drama",1.74,5.4
Love Steaks,"Romance, Comedy, Drama",1.93,5.6
The Remaining,"Thriller, Horror",14.79,4.1
Prairie Love,"Drama, Comedy",0.04,5.0
Heathcliff: The Movie,"Comedy, Family, Animation",0.0,7.0
Everly,"Thriller, Action",13.15,5.2
"Daddy, I'm A Zombie","Animation, Fantasy, Comedy",1.89,5.3
Zodiac,"Science Fiction, TV Movie",3.3,3.8
Camarón: When Flamenco Became Legend,Drama,0.71,6.6
Outrage Beyond,Action,3.43,7.1
The Mark of Cain,"Documentary, Drama",0.14,7.3
From Zero to Hero,"Romance, Comedy, Drama",0.16,6.0
The Humanoid,"Fantasy, Science Fiction",0.21,5.0
Kocken,,0.75,5.5
Vanishing Waves,"Romance, Science Fiction",1.89,5.5
The Little Drummer Girl,Thriller,1.12,5.3
The Little Death,"Drama, Comedy, Romance",5.59,6.5
Pinocchio,Animation,0.27,6.7
Kenny Begins,"Action, Comedy, Science Fiction",1.28,5.8
Sandor slash Ida,"Drama, Romance",0.32,3.5
Bit by Bit,Comedy,0.24,5.0
Help! I'm A Fish,"Adventure, Animation, Comedy",10.2,6.3
Tsatsiki,"Family, Drama",1.18,5.2
Dark Dungeons,"Drama, Fantasy, Horror",0.06,1.0
Bert: The Last Virgin,"Family, Comedy, Romance",0.88,3.3
One in a Million,Comedy,0.16,4.5
Sunes sommar,Comedy,0.94,5.9
Lotta Leaves Home,Family,0.59,5.8
Lotta on Rascal Street,"Comedy, Family",0.88,5.5
Babar The Movie,"Adventure, Animation, Family, Fantasy",0.95,5.6
Karlsson on the Roof,Family,1.13,5.3
The Girls,"Comedy, Foreign",0.26,6.5
¡Mátalo!,"Thriller, Western, Action, Drama",0.46,6.5
"Io, Emmanuelle",Drama,0.56,0.0
The Case of the Bloody Iris,Thriller,1.74,6.3
Darker Than Night,"Horror, Thriller",1.03,4.0
Uprise,Drama,0.08,5.0
Story of My Death,"History, Drama",0.3,8.2
The Blue Room,"Drama, Crime, Thriller",2.49,6.2
Vic+Flo Saw a Bear,"Crime, Drama, Thriller",1.1,6.5
Grandmother,Drama,0.72,7.0
Our Sunhi,"Romance, Drama",1.49,7.1
Two Years at Sea,Documentary,0.58,6.0
A Spell to Ward Off the Darkness,"Music, Documentary",0.22,7.2
The Last Time I Saw Macao,"Documentary, Thriller",0.37,6.7
When Evening Falls on Bucharest or Metabolism,Drama,0.27,7.4
Septien,"Comedy, Drama, Mystery",0.42,5.3
Two Shots Fired,"Drama, Comedy",0.14,6.7
Finisterrae,Drama,0.22,8.0
The Distance,,0.38,6.4
A Gun in Each Hand,"Comedy, Romance",1.81,6.5
Borsalino,"Crime, Drama",4.47,6.7
Finsterworld,Drama,3.2,6.2
Gangsters,"Crime, Drama",0.28,6.1
Weekender,"Drama, Music",0.96,6.0
Plot of Fear,"Mystery, Thriller, Crime",0.52,6.2
Bank Shot,"Comedy, Crime",1.41,5.4
Anotherworld,"Drama, Romance, Foreign",0.08,5.0
Ten Minutes Older,Documentary,0.18,5.8
Of Horses and Men,"Drama, Romance, Comedy",2.86,6.9
The Fox and the Hound 2,"Adventure, Animation, Comedy, Family",7.43,5.6
Monsterman,"Documentary, Drama",0.02,0.0
Long Hello and Short Goodbye,"Comedy, Thriller",0.0,0.0
The Heart of the World,"Science Fiction, Drama",1.07,7.6
Li'l Quinquin,"Mystery, Comedy, Crime",2.04,7.9
Girl with Hyacinths,"Drama, Mystery",0.57,7.5
These Amazing Shadows,Documentary,1.26,7.5
Garlic Is As Good As Ten Mothers,Documentary,0.19,7.3
Journey to the Beginning of Time,"Adventure, Fantasy, Family",1.52,8.0
Spend It All,Documentary,0.0,5.0
Joni's Promise,Comedy,0.25,6.8
The Man Who Could Cheat Death,"Horror, Science Fiction",0.84,6.2
small roads,Documentary,0.05,5.0
Carriage to Vienna,"Drama, War",0.4,7.3
Strange Voyage,"Comedy, Crime",1.12,7.6
Ivory Tower,Documentary,0.94,7.1
The Fabulous Baron Munchausen,"Adventure, Animation, Fantasy",1.18,6.0
Light Is Calling,,0.48,7.8
The Open Road,Documentary,0.08,5.0
The Epic of Everest,Documentary,1.12,6.9
All In This Tea,Documentary,0.0,0.0
The Private Life of a Cat,,0.35,5.0
Land,Documentary,0.08,4.3
Letter from Siberia,Documentary,0.47,8.0
Babylon XX,Drama,0.64,4.5
Carts of Darkness,Documentary,0.0,0.0
Soundtracker,Documentary,0.01,0.0
Kamome Diner,"Drama, Comedy",0.94,7.1
Gerhard Richter Painting,Documentary,0.73,7.1
Dream Land,,0.0,0.0
The Wayward Girl,Drama,0.0,0.0
City Zero,"Science Fiction, Drama, Comedy",0.87,6.3
Remonstrance,"Drama, Crime",0.04,5.0
Bells from the Deep,Documentary,0.03,6.6
The Gardener,,0.17,5.0
The Sea Vultures,Drama,0.0,0.0
The Girl from the Marsh Croft,,0.0,0.0
Karin Daughter of Ingmar,Drama,0.15,5.0
The Monastery of Sendomir,Drama,0.11,6.0
1000 Journals,,0.04,8.0
Pan,"Action, Adventure, Fantasy, Drama, Romance",0.04,10.0
A Year Along the Abandoned Road,Documentary,0.22,7.8
The Shoe,"Comedy, Drama",0.08,5.0
Night Editor,Drama,0.84,5.2
Under the Flag of the Rising Sun,"Drama, Foreign, History, Mystery",0.07,6.6
The Devil Thumbs a Ride,Crime,0.63,5.6
The Man Who Changed His Mind,"Horror, Science Fiction",1.24,5.7
The Man They Could Not Hang,"Horror, Science Fiction, Thriller",0.67,6.2
Line of Sight,Documentary,0.95,4.3
Rewind This!,Documentary,1.28,7.0
Ten Little Indians,"Crime, Mystery",1.83,7.0
Josephine,"Romance, Comedy",4.87,6.0
The Land Unknown,"Adventure, Fantasy, Science Fiction",0.7,6.4
Crazy Thunder Road,"Foreign, Science Fiction",0.0,6.4
Pizzas,,0.01,0.0
"Mother, I Love You",Drama,0.47,7.0
Dream Team 1935,"Comedy, Drama, History",0.18,0.0
Matthew's Days,,0.15,5.5
Fantomas,"Comedy, Crime, Adventure, Fantasy",5.87,6.8
Fantomas Unleashed,"Comedy, Crime, Adventure, Fantasy",6.21,6.7
Fantomas vs. Scotland Yard,"Comedy, Crime, Adventure, Fantasy",5.45,6.9
Pursuit to Algiers,"Mystery, Adventure, Crime",1.17,6.6
Radiopiratene,"Comedy, Family",0.01,0.0
Megacities,Documentary,0.41,7.0
Operation Y and Other Shurik's Adventures,Comedy,3.31,7.5
Gertie the Dinosaur,"Animation, Comedy",1.91,6.7
Intimidation,Crime,0.35,7.2
God Speed You! Black Emperor,Documentary,0.04,5.0
"Blood, Sweat + Vinyl: DIY in the 21st Century",,0.01,0.0
The Lumière Brothers' First Films,Documentary,0.04,7.0
Amador,"Drama, Foreign",3.12,6.6
Art and Craft,Documentary,0.31,7.1
The Castle of Fu Manchu,"Crime, Adventure, Horror, Thriller",0.8,3.0
The Vengeance of Fu Manchu,"Crime, Horror, Mystery",0.36,6.0
Lightning Bolt: The Power Of Salad,"Documentary, Music",0.06,7.0
Fuck Up,Drama,1.17,5.7
Defenders of Riga,"Action, Drama, History, War",0.45,6.0
Gulf Stream Under the Iceberg,"Drama, Fantasy",1.76,3.5
The Diary of Preston Plummer,"Drama, Romance",0.17,4.5
Oxygen,Thriller,0.67,5.4
@Suicide Room,"Animation, Thriller, Drama",3.74,7.7
Is It Easy to Be Young?,Documentary,0.13,1.0
Suburban Gothic,"Horror, Comedy",3.25,5.3
The Killing Jar,"Drama, Thriller, Mystery",0.9,5.1
The Kiss of Her Flesh,"Thriller, Horror",0.1,6.0
Kolka Cool,"Drama, Comedy",0.11,10.0
Project Almanac,"Science Fiction, Thriller",9.36,6.4
Louis C.K.: Live at The Comedy Store,Comedy,2.52,7.4
Heavy Weather,"Comedy, TV Movie",0.08,10.0
The First Men in the Moon,Science Fiction,1.44,5.5
Brooklyn,"Drama, Romance",7.99,7.2
Digging for Fire,Drama,4.34,5.2
Don Verdean,Comedy,2.79,4.1
The End of the Tour,Drama,9.2,7.3
Experimenter,"Drama, History",5.11,6.8
I Am Michael,Drama,9.57,6.2
Lila & Eve,"Thriller, Drama",7.28,5.4
Last Days in the Desert,"Adventure, Drama, History",6.64,4.4
I'll See You in My Dreams,"Drama, Comedy",4.96,6.3
Seoul Searching,"Drama, Comedy",0.34,6.4
Mississippi Grind,Drama,6.05,5.9
Mistress America,Comedy,6.97,6.4
Zipper,"Thriller, Drama",4.71,5.6
A Walk in the Woods,"Adventure, Comedy, Drama",12.02,5.7
True Story,"Crime, Drama, Mystery",7.87,6.2
Ten Thousand Saints,"Comedy, Drama, Music",9.04,6.0
Sleeping with Other People,Comedy,8.84,6.2
Beaver Trilogy Part IV,Documentary,0.13,8.0
Drunk Stoned Brilliant Dead: The Story of the National Lampoon,"History, Comedy, Documentary",1.62,6.8
Cobain: Montage of Heck,"Music, Documentary",6.52,7.5
The Hunting Ground,Documentary,2.41,7.6
Fresh Dressed,"Documentary, History, Music",1.49,6.6
Going Clear: Scientology and the Prison of Belief,Documentary,5.89,7.7
The Mask You Live In,Documentary,1.25,8.7
Prophet's Prey,"Crime, Documentary",1.35,7.3
Tig,Documentary,2.93,7.3
In Football We Trust,Documentary,0.08,5.0
Most Likely to Succeed,"Drama, Documentary",0.18,8.5
"What Happened, Miss Simone?","Documentary, Music",4.51,7.7
6 Desires,Documentary,0.12,7.0
Life May Be,,0.02,0.0
Here Be Dragons,Documentary,0.17,5.0
A Story of Children and Film,Documentary,0.72,7.0
What Is This Film Called Love?,Documentary,0.01,0.0
The First Movie,Documentary,0.16,7.7
99 Homes,Drama,6.61,6.8
The Story of Film: An Odyssey,Documentary,1.5,8.8
Aloft,Drama,3.85,5.1
Eden,"Drama, Music",10.92,5.7
Girlhood,Drama,4.22,6.5
Advantageous,"Science Fiction, Drama, Family",3.44,6.4
Crossroad Street,Documentary,0.01,7.5
The Bronze,"Drama, Comedy",5.35,5.5
The D Train,"Drama, Comedy",3.99,4.5
The Diary of a Teenage Girl,"Drama, Romance",14.99,6.8
Dope,"Crime, Drama, Comedy",7.95,7.2
I Smile Back,Drama,4.68,5.6
Me and Earl and the Dying Girl,"Comedy, Drama",12.5,7.7
The Overnight,"Mystery, Comedy",7.83,6.1
"People, Places, Things",Comedy,3.09,6.8
Results,Comedy,3.97,5.2
Songs My Brothers Taught Me,Drama,0.92,6.7
The Stanford Prison Experiment,"Thriller, Drama",4.83,6.8
"Stockholm, Pennsylvania","Drama, Thriller",6.17,5.4
Unexpected,"Comedy, Drama",4.14,5.8
Z for Zachariah,"Drama, Science Fiction, Thriller",5.31,5.6
The Student,Romance,3.28,5.9
Nothing's All Bad,"Drama, Comedy",0.32,7.8
Northwest,"Action, Crime, Drama",2.98,6.4
Stations of the Cross,Drama,6.58,7.2
The Referees,Documentary,0.71,6.0
Il mundial dimenticato,,0.03,0.0
The Referee,Comedy,0.92,6.0
Reality,"Drama, Comedy",2.89,6.7
Amnèsia,,0.67,5.5
Three-Step Dance,Drama,0.12,7.5
Pretty Butterflies,Drama,0.72,7.3
Dangerous Liaisons,"Drama, Romance",0.38,6.5
My Sweet Pepper Land,Drama,1.93,6.8
L'agression,"Drama, Crime",0.89,6.0
The Auction,Drama,0.75,6.4
Micke & Veronica,Comedy,0.4,7.0
The Veil of Twilight,"Mystery, Crime, Fantasy",0.7,6.2
Inbetween Worlds,Drama,1.05,5.7
The Old Gun,"Drama, History",2.45,7.7
The Passerby,Drama,0.63,5.3
The Things of Life,Drama,2.35,6.9
The Count of Monte Cristo,"Adventure, Drama, Romance",1.32,6.8
The Hunchback of Paris,"Action, Adventure",2.79,6.8
In the Basement,Documentary,2.25,6.0
Project Wild Thing,Documentary,0.01,0.0
Trojan Eddie,"Drama, Romance, Foreign",0.33,5.0
Nobody Knows Anything!,"Comedy, Drama",4.36,2.6
Ice Men,Drama,0.04,5.0
The Invitation,"Horror, Drama, Thriller",0.56,4.0
When the Bough Breaks,Thriller,1.87,6.5
Innocent Lies,"Drama, Thriller, Mystery, Foreign",0.4,6.2
Suppose They Gave a War and Nobody Came?,"Drama, Comedy",0.88,7.0
Niagara Motel,Comedy,0.48,5.9
Mentor,Drama,0.53,10.0
Neverwhere,,0.58,6.9
Animal Room,Drama,0.06,6.0
Zenith,"Action, Adventure, Drama, Mystery, Science Fiction, Thriller",0.55,5.1
